"Referencia","Valor","Huella","Cantidad","No montar","Funcion"
"C1,C3","100uF 63V","ControladorFlechas:CP_Radial_D8.0mm_P3.81mm","2","","Capacitor electrolítico de 12 V,Capacitor electrolítico de entrada (volumen)"
"C2","100nF 100V","ControladorFlechas:C_Disc_P5.08mm","1","","Desacoplo cerámico de 36 V"
"C4,C6,C7","100nF","ControladorFlechas:C_Disc_P5.08mm","3","","Desacoplo de U1 (junto al pin 8),Desacoplo de U2 (junto al pin 16),Filtro del pin CONT (5)"
"C5,C8","10uF 50V","ControladorFlechas:CP_Radial_D5.0mm_P2.54mm","2","","Capacitor de temporización,Reset de encendido (POR), tau = 1 s"
"D1","1N4007","ControladorFlechas:D_DO-41_P10.16mm","1","","Protección contra inversión de polaridad (diodo serie)"
"D2","P6KE47A","ControladorFlechas:D_DO-15_P12.70mm","1","","TVS unidireccional 40.2 V standoff, supresión de transitorios en 36 V"
"D5,D7","1N4148","ControladorFlechas:D_DO-35_P7.62mm","2","","OR de reset: POR -> RESET,OR de reset: Q3 -> RESET (3 pasos)"
"F1","RXEF025 0.25A","ControladorFlechas:PTC_Radial_P5.08mm","1","","Fusible rearmable PTC 0.25 A hold / 0.5 A trip, 72 V"
"J1","36V ENTRADA","ControladorFlechas:Clema_2P_P5.08mm","1","","Entrada de la fuente aislada de 36 VCC (pin 2 = 36V+, pin 1 = GND)"
"J2","INTERRUPTOR","ControladorFlechas:Clema_2P_P5.08mm","1","","Interruptor de encendido externo (palanca/balancín). Si no se usa, puentear con alambre"
"J3","FLECHAS","ControladorFlechas:Clema_4P_P5.08mm","1","","Salida a las 3 flechas: pin 1 = +36V (ánodo común), 2 = F1-, 3 = F2-, 4 = F3-"
"J4","CENTROS","ControladorFlechas:Clema_2P_P5.08mm","1","","Salida opcional CENTROS: pin 2 = retorno conmutado (-), pin 1 = GND de referencia. El + de las ramas se toma de J3 +36V"
"J5","FLORES","ControladorFlechas:Clema_2P_P5.08mm","1","","Salida fija opcional FLORES (pin 1 = +, pin 2 = GND), resistencias en el panel"
"J6","BAÑOS","ControladorFlechas:Clema_2P_P5.08mm","1","","Salida fija opcional BAÑOS (pin 1 = +, pin 2 = GND), resistencias en el panel"
"JP2,JP3","NO MONTAR","ControladorFlechas:Enlace_Opcional_P7.62mm","2","DNP","Habilita +36V en BAÑOS. Montar solo después de medir la serie,Habilita +36V en FLORES. Montar solo después de medir la serie"
"LED1","ROJO 3mm 36V","ControladorFlechas:LED_D3.0mm","1","","Indicador: 36 V presentes"
"LED3","ROJO 3mm F1","ControladorFlechas:LED_D3.0mm","1","","LED de prueba: flecha 1 activa"
