Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100uF 63V","CP_Radial_D8.0mm_P3.81mm",108.100000,-55.080000,-90.000000,top
"C2","100nF 100V","C_Disc_P5.08mm",102.070000,-55.080000,-90.000000,top
"C3","100uF 63V","CP_Radial_D8.0mm_P3.81mm",132.550000,-74.765000,-90.000000,top
"C4","100nF","C_Disc_P5.08mm",146.519999,-86.830000,180.000000,top
"C5","10uF 50V","CP_Radial_D5.0mm_P2.54mm",141.757500,-114.770000,0.000000,top
"C6","100nF","C_Disc_P5.08mm",145.250000,-102.070000,180.000000,top
"C7","100nF","C_Disc_P5.08mm",111.595000,-76.670000,90.000000,top
"C8","10uF 50V","CP_Radial_D5.0mm_P2.54mm",123.660000,-112.229999,180.000000,top
"D1","1N4007","D_DO-41_P10.16mm",118.580000,-62.700000,0.000000,top
"D2","P6KE47A","D_DO-15_P12.70mm",114.770000,-55.080000,-90.000000,top
"D5","1N4148","D_DO-35_P7.62mm",113.500000,-107.785000,0.000000,top
"D7","1N4148","D_DO-35_P7.62mm",110.642500,-111.595000,90.000000,top
"F1","RXEF025 0.25A","PTC_Radial_P5.08mm",141.440000,-62.700000,180.000000,top
"J1","36V ENTRADA","Clema_2P_P5.08mm",149.060000,-80.480000,90.000000,top
"J2","INTERRUPTOR","Clema_2P_P5.08mm",149.060000,-67.780000,90.000000,top
"J3","FLECHAS","Clema_4P_P5.08mm",56.350000,-62.700000,-90.000000,top
"J4","CENTROS","Clema_2P_P5.08mm",136.360000,-123.660000,0.000000,top
"J5","FLORES","Clema_2P_P5.08mm",63.970000,-123.660000,0.000000,top
"J6","BAÑOS","Clema_2P_P5.08mm",76.670000,-123.660000,0.000000,top
"LED1","ROJO 3mm 36V","LED_D3.0mm",97.625000,-61.430000,90.000000,top
"LED3","ROJO 3mm F1","LED_D3.0mm",97.625000,-75.082500,0.000000,top
"LED4","ROJO 3mm F2","LED_D3.0mm",97.625000,-89.052500,0.000000,top
"LED5","ROJO 3mm F3","LED_D3.0mm",97.625000,-103.022500,0.000000,top
"LED6","ROJO 3mm PULSO","LED_D3.0mm",140.487500,-79.527500,90.000000,top
"Q1","2N7000","TO-92_2N7000",83.020000,-69.050000,180.000000,top
"Q2","2N7000","TO-92_2N7000",83.020000,-83.020000,180.000000,top
"Q3","2N7000","TO-92_2N7000",83.020000,-96.990000,180.000000,top
"Q4","2N7000","TO-92_2N7000",133.820000,-115.405000,0.000000,top
"R1","33k","R_Vertical_P5.08mm",92.545000,-53.810000,-90.000000,top
"R2","1k","R_Vertical_P5.08mm",123.660000,-74.765000,180.000000,top
"R3","8.2k","R_Vertical_P5.08mm",114.770000,-76.035000,90.000000,top
"R5","4.7k","R_Vertical_P5.08mm",150.329999,-88.100000,-90.000000,top
"R6","15k","R_Vertical_P5.08mm",150.329999,-96.990000,-90.000000,top
"R7","1k","R_Axial_P10.16mm",130.009999,-85.560000,180.000000,top
"R8","10k","R_Vertical_P5.08mm",133.185000,-82.702500,0.000000,top
"R9","100k","R_Axial_P10.16mm",119.532500,-100.800000,0.000000,top
"R10","100k","R_Vertical_P5.08mm",114.770000,-116.675000,-90.000000,top
"R11","100k","R_Vertical_P5.08mm",107.150000,-111.595000,-90.000000,top
"R13","10k","R_Vertical_P5.08mm",103.340000,-70.002500,-90.000000,top
"R14","10k","R_Vertical_P5.08mm",103.340000,-83.972500,-90.000000,top
"R15","10k","R_Vertical_P5.08mm",103.340000,-97.942500,-90.000000,top
"R16","1k","R_Axial_P10.16mm",103.340000,-65.239999,180.000000,top
"R17","100k","R_Vertical_P5.08mm",80.480000,-64.605000,90.000000,top
"R18","1k","R_Axial_P10.16mm",103.340000,-79.210000,180.000000,top
"R19","100k","R_Vertical_P5.08mm",80.480000,-78.575000,90.000000,top
"R20","1k","R_Axial_P10.16mm",103.340000,-93.180000,180.000000,top
"R21","100k","R_Vertical_P5.08mm",80.480000,-92.545000,90.000000,top
"R22","68 1%","R_Vertical_P5.08mm",69.050000,-64.605000,90.000000,top
"R23","68 1%","R_Vertical_P5.08mm",74.130000,-59.525000,-90.000000,top
"R24","68 1%","R_Vertical_P5.08mm",69.050000,-78.575000,90.000000,top
"R25","68 1%","R_Vertical_P5.08mm",74.130000,-73.495000,-90.000000,top
"R26","68 1%","R_Vertical_P5.08mm",69.050000,-92.545000,90.000000,top
"R27","68 1%","R_Vertical_P5.08mm",74.130000,-87.465000,-90.000000,top
"R28","1k","R_Vertical_P5.08mm",127.470000,-110.960000,0.000000,top
"R29","100k","R_Vertical_P5.08mm",140.170000,-110.325000,0.000000,top
"R30","10k","R_Axial_P10.16mm",123.660000,-104.610000,0.000000,top
"RV1","100k","Trimpot_3296W",150.329999,-107.150000,90.000000,top
"SW2","REINICIO","Boton_6mm",123.660000,-116.675000,-90.000000,top
"U1","NE555P","DIP-8_W7.62mm",137.630000,-90.640000,0.000000,top
"U2","CD4017BE","DIP-16_W7.62mm",108.420000,-83.020000,0.000000,top
"U3","LM317T","TO-220-3_Vertical",121.120000,-70.320000,0.000000,top
"U4","LM317LZ","TO-92_LM317L",72.860000,-69.050000,180.000000,top
"U5","LM317LZ","TO-92_LM317L",72.860000,-83.020000,180.000000,top
"U6","LM317LZ","TO-92_LM317L",72.860000,-96.990000,180.000000,top
"W1","PUENTE","Puente_Alambre_P7.62mm",143.345000,-82.702500,90.000000,top
