Ref,Val,Package,PosX,PosY,Rot,Side
"BR1","2W10","Puente_2W10",140.300000,-104.800000,0.000000,top
"BR2","2W10","Puente_2W10",145.880000,-121.500000,180.000000,top
"C1","474J 400V","C_Poliester_P10-15mm",114.200000,-104.800000,0.000000,top
"C2","224J 400V","C_Poliester_P10-15mm",114.200000,-112.400000,0.000000,top
"C3","220uF 25V","CP_Radial_D8.0mm_P3.81mm",110.500000,-125.500000,0.000000,top
"C5","10uF 25V","CP_Radial_D5.0mm_P2.54mm",111.500000,-150.500000,0.000000,top
"DZ1","1N4742A 12V 1W","D_DO-41_P10.16mm",119.200000,-119.620000,0.000000,top
"J1","127 VCA","Clema_2P_P5.08mm",105.800000,-105.200000,-90.000000,top
"J2","FLECHAS","Cables_4P_P5.08mm",145.880000,-130.000000,0.000000,top
"R1","220R 1W fusible","R_1W_Vertical_P7.62mm",134.000000,-104.800000,-90.000000,top
"R2","220R 1W fusible","R_1W_Vertical_P7.62mm",134.000000,-116.500000,-90.000000,top
"R3","1M 1/2W","R_Vertical_P5.08mm",105.800000,-115.200000,-90.000000,top
"R6","47k","R_Vertical_P5.08mm",103.000000,-150.500000,0.000000,top
"R8","4.7k","R_Vertical_P5.08mm",131.500000,-145.060000,0.000000,top
"R9","4.7k","R_Vertical_P5.08mm",131.500000,-153.760000,0.000000,top
"R10","4.7k","R_Vertical_P5.08mm",131.500000,-136.360000,0.000000,top
"SCR1","MCR100-6","TO-92_SCR",141.500000,-147.600000,90.000000,top
"SCR2","MCR100-6","TO-92_SCR",141.500000,-156.300000,90.000000,top
"SCR3","MCR100-6","TO-92_SCR",141.500000,-138.900000,90.000000,top
"U1","NE555P","DIP-8_W7.62mm",111.620000,-140.000000,180.000000,top
"U2","CD4017BE","DIP-16_W7.62mm",126.500000,-156.000000,180.000000,top
"W1","PUENTE","Puente_Abajo_P7.62mm",122.225000,-131.115000,180.000000,top
"W2","PUENTE","Puente_Abajo_P10.16mm",106.667500,-145.720000,-90.000000,top
