Ref,Val,Package,PosX,PosY,Rot,Side
"C1","334J 400V","C_Poliester_P15mm",130.240000,-114.000000,0.000000,top
"D1","1N4007","D_DO-41_P10.16mm",135.079999,-136.000000,0.000000,top
"D2","1N4007","D_DO-41_P10.16mm",116.160000,-136.000000,180.000000,top
"D3","1N4007","D_DO-41_P10.16mm",145.240000,-128.000000,180.000000,top
"D4","1N4007","D_DO-41_P10.16mm",106.000000,-128.000000,0.000000,top
"J1","127 VCA","Clema_2P_P5.08mm",106.000000,-111.000000,-90.000000,top
"J2","SALIDA OS","Clema_2P_P5.08mm",121.000000,-144.000000,0.000000,top
"R1","220R 1W fusible","R_1W_P15.24mm",115.000000,-106.000000,0.000000,top
"R2","1M 1/2W","R_Axial_P15.24mm",130.000000,-120.000000,0.000000,top
"RV1","07D201K","Varistor_D7mm_P5mm",116.000000,-119.000000,0.000000,top
